,id,question,A,B,C,D,answer
1595,Mercury_SC_401830,Which of these converts electrical energy to light energy?,a star,a flashlight,a campfire,a tea kettle,B
1596,Mercury_SC_401676,Darwin's theory that animal species can change over time was inspired by his research on which set of islands?,the Philippine Islands,the Virgin Islands,the Hawaiian Islands,the Galapagos Islands,D
1597,Mercury_7186813,An athlete is running a race. The athlete's body needs energy. Which organelle(s) in the athlete's cells supply the energy for cellular functions?,Golgi apparatus,mitochondrion,ribosome,nucleus,B
1598,Mercury_SC_406712,Which of these would best help a scientist discover a new planet?,making a model of outer space,asking questions to other scientists,collecting information about planets,looking at the night sky with a telescope,D
1599,VASoL_2009_3_3,Which of these lists has only products that come from plants?,"Paper, spices, and fibers","Wool, lumber, and butter","Medicines, leather, and milk","Cotton, rubber, and eggs",A
1600,Mercury_7267890,Why is some food dehydrated for astronauts to eat in space?,to make the food less messy to eat,to preserve the food for extended flights,to increase the food's nutritional content,to keep the food from floating off the plate,B
1601,MCAS_2006_9_15,Perfume sprayed from a bottle spreads more easily in a warm room of 25°C than in a cool room of 15°C. Which of the following correctly compares perfume molecules at 25°C to those at 15°C?,"At 25°C, they have more mass.","At 25°C, they are moving faster.","At 25°C, they have less kinetic energy.","At 25°C, they are decreasing in volume.",B
1602,Mercury_182123,Which of the following is believed to be one cause of global warming?,atmospheric rise of carbon dioxide,hot air from air conditioner exhaust,methane gas escaping from landfills,body heat generated by overpopulation,A
1603,Mercury_SC_402285,What product was being formed as plants died and sank to the bottom of swamps?,oil,gas,coal,shale,C
1604,Mercury_SC_400176,What is the approximate length of time it takes the Moon to complete one lunar cycle?,14 days,29 days,180 days,365 days,B
1605,Mercury_7206360,A line graph is best used when the measured variable is,changing at a constant rate.,nearly equal in several trials.,being compared to a control.,observed at one point in time.,A
1606,MDSA_2008_5_28,All living things need energy to survive. What is the primary source of energy for all living things?,plants,the sun,water,the wind,B
1607,NCEOGA_2013_8_23,"If a chemical reaction such as photosynthesis begins with 6 atoms of carbon [C], how many atoms of carbon [C] should be in the products?",12 atoms of carbon [C],6 atoms of carbon [C],3 atoms of carbon [C],2 atoms of carbon [C],B
1608,Mercury_SC_401167,Which object refracts light?,mirror,silver spoon,foil,glass prism,D
1609,Mercury_7213693,"A gastroenterologist is a doctor who treats problems of the esophagus, stomach, and intestines. Which organ system is cared for by this type of doctor?",circulatory system,muscular system,digestive system,nervous system,C
1610,Mercury_7267558,Which event becomes more likely during a drought in a prairie ecosystem?,fire,tornado,landslide,earthquake,A
1611,Mercury_7081235,"When scientists publish papers describing the results and conclusions of their experiments, members of the scientific community should",collect their own data and rewrite the paper.,evaluate the evidence in the paper.,accept the paper as fact.,ask the writer to write an alternate paper.,B
1612,Mercury_SC_408290,"Kim lost her hammer outside. When she found it a few months later, some parts of the metal were covered with flaky, brown rust. Which type of change occurred when rust formed on the hammer?",chemical,electrical,thermal,physical,A
1613,Mercury_7032918,Which human activity has most negatively affected air quality?,burning coal,growing crops,using solar energy cells,constructing nuclear power plants,A
1614,MCAS_2009_8_7,Most of the bacteria in a forest ecosystem are best classified as which of the following types of organisms?,consumers,decomposers,predators,producers,B
1615,NCEOGA_2013_5_41,A pencil falls off of a desk. What moves the pencil toward the floor?,mass,friction,gravity,speed,C
1616,MCAS_2006_5_8,All of the processes listed below cause changes in Earth's surface. Which of the following is the slowest to change Earth's surface?,earthquake activity,landslide,volcanic eruption,weathering,D
1617,VASoL_2007_5_18,"A group of students was preparing an activity to determine whether certain materials will float or sink when placed on water. Before the experiment started, one student said, ""I think the sponge will float."" This statement was",a conclusion,a fact,an observation,a prediction,D
1618,VASoL_2009_5_33,What tool is used to determine the mass of an object?,Balance,Meter stick,Thermometer,Graduated cylinder,A
1619,Mercury_7034860,"According to the Periodic Table of the Elements, mercury (Hg) is different from other metals because mercury is",solid at room temperature.,liquid at room temperature.,lighter than all other metals.,heavier than all other metals.,B
1620,Mercury_7016713,"When using more than the recommended amounts of pesticide on farmland, yards, and gardens, what is most likely to occur?",Higher levels of pesticide may be less effective.,The pesticides may break down quickly.,Water supplies can be contaminated by pesticide runoff.,The pesticide will increase the plant production.,C
1621,Mercury_7241098,"According to the fossil record, when did episodes of rapid speciation commonly take place?",while Earth's continents were joined,while Earth's habitats were stable,before major climatic changes,following mass extinctions,D
1622,Mercury_SC_408656,A deer inherits some of its features from its parents. Other features come from its environment. Which feature would a deer most likely inherit from its parents?,a long scar,brown eyes,missing teeth,a broken antler,B
1623,ACTAAP_2008_7_12,What is the smallest structural and functional unit of the nervous system?,brain,organ,neuron,spinal cord,C
1624,Mercury_182438,Male peacocks have large brightly colored tail feathers. What is the most likely reason for this?,to attract potential mates,to distract potential predators,to help catch food,to preserve warmth,A
1625,MCAS_2005_5_16,"In a city, the daily high and low 16 temperatures for a month are best represented by which of the following?",flow chart,line graph,pictograph,pie chart,B
1626,Mercury_7159198,Drew was measuring the growth of a vine that can grow almost 31 cm a day. Which would be the best way to record his data of the growth over a period of a day?,a bar graph,a line graph,a pie graph,a picture graph,B
1627,Mercury_7216230,All of the following are functions of a cell membrane except,surrounding and protecting the contents of the cell.,releasing waste products from the cell.,producing energy for cell processes.,allowing gases to enter the cell.,C
1628,Mercury_401597,Which characteristic will a baby chimpanzee inherit from its parents?,fur color,hunting skills,feeding behavior,sleeping routine,A
1629,NYSEDREGENTS_2004_4_6,Which object is the best conductor of electricity?,a wax crayon,a plastic spoon,a rubber eraser,an iron nail,D
1630,MCAS_2001_5_17,Why are some rocks smoother and rounder than others?,They have the shapes of the minerals from which they are made.,They were smoothed by the action of wind and water.,They were squeezed up through the soil.,They hardened in rounded pockets of soil.,B
1631,Mercury_SC_408861,"A vaccine can prevent a serious disease. When a new vaccine is developed, it is given to a small group of people. Why would it be important to test each vaccine on a small group of people before everyone can have one?",to figure out how much the vaccine is worth,to determine how the vaccine will affect people,to understand how that disease affects the human body,to find out how many people are affected by the disease,B
1632,Mercury_SC_415423,When can producers make the most food?,"summer, because there is more sunlight","summer, because there is more heat","spring, because there is more rain","spring, because there are more leaves",A
1633,Mercury_SC_409583,"Plants have special tissues that transport food, water, and minerals throughout the plant. What are these tissues similar to in animals?",stomach and intestines,spinal cord and brain,arteries and veins,kidneys and liver,C
1634,MCAS_2015_5_4,Which of the following statements best explains how the decomposition of plant and animal matter helps to form rich soils?,Decomposition adds silt to soil.,Decomposition adds water to soil.,Decomposition adds oxygen to soil.,Decomposition adds nutrients to soil.,D
1635,NAEP_2000_4_S21+3,Beans and coal both have stored energy. Where did the energy come from that is stored in beans and coal?,From the Earth's gravity,From the Sun's light,From the heat in the Earth's core,From the air's carbon dioxide,B
1636,Mercury_7234693,A metal ball has a constant velocity of zero. Which other quantity must also be zero?,weight of the ball,energy of the ball,acceleration of the ball,inertia of the ball,C
1637,Mercury_7043855,What geographic obstacle causes water to condense in an air mass as the air mass moves?,forests,oceans,prairies,mountains,D
1638,NYSEDREGENTS_2007_4_1,"If an object is attracted to a magnet, the object is most likely made of",wood,plastic,cardboard,metal,D
1639,OHAT_2011_5_33,Which explains the pattern of day and night?,Earth orbits the sun.,Earth spins on its axis.,The sun only transmits light energy during the daytime.,The sun only transmits light energy above the equator.,B
1640,Mercury_405064,Which is the best plan to make the fossil fuel supply last longer?,mine more coal,reduce car pollution,produce more gasoline,reduce electricity use,D
1641,Mercury_7180338,The stages of evolution of a star are determined by the mass of the star at the beginning of its life cycle. Which stage of evolution is the oldest form of a massive star?,red giant,supernova,neutron star,white dwarf,C
1642,Mercury_7206080,Which of these best indicates that sediments can be changed into rock?,layers of sandstone,igneous intrusions,lava beds,mountains with gneiss,A
1643,Mercury_7234570,Carbon cycles through several Earth subsystems. Which sequence most directly leads to the cycling of carbon that can result in the formation of petroleum?,biosphere to lithosphere,atmosphere to lithosphere,hydrosphere to atmosphere,biosphere to atmosphere,A
1644,Mercury_7234640,Which word best describes the speed of a cart that has a positive velocity and a negative acceleration?,slow,fast,decreasing,increasing,C
1645,Mercury_7162645,A hurricane is a heat engine which converts one kind of energy into another. Hurricanes convert most of the heat energy into,chemical energy.,electrical energy.,mechanical energy.,potential energy.,C
1646,Mercury_7233450,Which of the following is a crucial piece of evidence supporting scientists' theory of how the continents and the ocean basins formed?,Gravitational forces result in the fusion of small atoms.,A differentiated iron core expresses magnetic properties.,Currents redistribute heat in an unevenly heated liquid.,A stream of charged ions disperses lightweight gases.,C
1647,NYSEDREGENTS_2007_4_5,What motion causes day and night?,revolution of Earth,revolution of the Moon,rotation of Earth,rotation of the Moon,C
1648,Mercury_7181580,The axis of Earth is tilted at an angle of 23.5° from the vertical position. Which of the following is the main result of this tilt?,tides,eclipses,length of year,change of seasons,D
1649,Mercury_7008978,"In an earthquake, the primary waves move through",air,water,soil,rock,D
1650,TIMSS_2011_8_pg87,Which of the following is the major cause of tides?,heating of the oceans by the Sun,gravitational pull of the Moon,earthquakes on the ocean floor,changes in wind direction,B
1651,NYSEDREGENTS_2005_4_12,A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to,cold temperatures,hot temperatures,a shortage of food,a shortage of drinking water,B
1652,Mercury_7128590,"Fires in forests from lightning rid the forest of dead branches and leaves. If the trees survive and the soil remains intact, the forest will experience regrowth to its climax state by which process?",tropism,succession,gradualism,eutrophication,B
1653,Mercury_SC_409670,A class planted trees and shrubs in an empty dirt lot beside the school. The roots of the plants can help protect the soil. The soil is most likely being protected from what?,a drought,wind erosion,an earthquake,water pollution,B
1654,Mercury_7064505,"In the process of photosynthesis, sunlight is converted into",chemical energy.,nuclear energy.,mechanical energy.,kinetic energy.,A
1655,Mercury_7268170,Vascular plants have tissue called xylem. Which of these is transported by the xylem?,food made by the plant,water needed by the plant,pollen for plant reproduction,carbon dioxide for photosynthesis,B
1656,ACTAAP_2009_5_11,"If Lisa wants to experiment with bean plants, which of these is the best example of a hypothesis?",Bean plants come in many types.,Fertilizer is good for bean plants.,All bean plants are related to each other.,Fertilizer will make bean plants grow taller.,D
1657,Mercury_SC_406071,"A jeweler melts gold to make jewelry. As the gold melts, the mass",increases.,decreases.,is destroyed.,stays the same.,D
1658,MCAS_2007_8_5185,Which of the following tools is most useful for tightening a small mechanical fastener?,chisel,pliers,sander,saw,B
1659,Mercury_7269115,"Oil, coal, and natural gas are fossil fuels formed under what conditions?",low temperature and high pressure,high temperature and high pressure,low temperature and low pressure,high temperature and low pressure,B
1660,NYSEDREGENTS_2016_4_3,Some birds build nests in the spring. This nest building is a seasonal adaptation that occurs to help the birds,fly south,find food,protect their young,survive the winter,C
1661,NYSEDREGENTS_2006_4_5,Which tool is used to measure the volume of a liquid?,balance,ruler,thermometer,graduated cylinder,D
1662,NYSEDREGENTS_2004_4_11,The functions of a plant's roots are to support the plant and,make food,produce fruit,take in water and nutrients,aid in germination,C
1663,Mercury_406730,All of the inherited traits that are passed to offspring during asexual reproduction come from a single,egg.,sperm.,virus.,parent.,D
1664,MCAS_2003_8_3,What energy transformation occurs when an electric lamp is turned on?,electrical energy to light and heat energy,light energy to electrical and mechanical energy,heat energy to electrical and light energy,electrical energy to mechanical and heat energy,A
1665,Mercury_7218715,Which phase change in the atmosphere forms clouds?,evaporation,freezing,condensation,melting,C
1666,Mercury_7274330,Where are the most reactive nonmetals located on the periodic table?,the uppermost complete row of the table,the rows at the bottom of the table connecting two sections,the column at the far left side of the table,the second column from the right side of the table,D
1667,Mercury_SC_401808,Who was a leading authority on continental drift in the early 1900s?,Alfred Wegener,Albert Einstein,Charles Richter,Charles Darwin,A
1668,NYSEDREGENTS_2006_8_3,"In addition to oxygen, which gases make up the largest percentage of Earth's atmosphere?","hydrogen, helium, and water vapor","hydrogen, methane, and ozone","carbon dioxide, water vapor, and nitrogen","carbon dioxide, methane, and helium",C
1669,AKDE&ED_2012_4_31,"For many years, people have been curious about the stars. In the past, people have shared what they knew about the stars through stories and drawings. Which pair of tools would be most helpful for people today to gather and share information about stars?",a notebook and a calculator,a telescope and a computer,a calculator and a microscope,a microscope and a telescope,B
1670,Mercury_7163888,"During a presentation on astronomy, Professor Williams discussed various measurements in space. Which objects was she referring to when she talked about how astronomical units (AU) were determined?",the Sun and Earth,the Moon and Earth,the inner and outer planets,the Sun and the closest star,A
1671,NCEOGA_2013_5_54,"As more people have moved to the beach, the sea turtle population has decreased. Which is most likely the cause of this decrease?",tropical storms,increase in predators,habitat loss,warmer temperatures,C
1672,Mercury_SC_400605,The skin of a chameleon can change colors to help it blend with its surroundings. How would this adaptation most likely help a chameleon survive?,by scaring predators away from the chameleon,by attracting prey animals to the chameleon,by sending a signal to other chameleons,by helping the chameleon hide from its predators,D
1673,Mercury_7120715,A student examines a new watch design. The watch has a small solar cell on its face. The main function of the solar cell is to,reduce the cost of the watch.,provide an energy source for the watch.,make the watch more attractive.,stop the watch from speeding up.,B
1674,MCAS_2008_8_5715,The presence of which of the following geological features provides the best evidence that glaciers once covered an area?,wide riverbeds,U-shaped valleys,underground caves,groundwater springs,B
1675,VASoL_2010_5_24,Which of these is a way the people of Virginia can help restore a natural ecosystem?,Burn their trash,Plant native plants,Feed leftover meals to deer,Drain automobile oil into the grass,B
1676,Mercury_SC_400029,"A student wants to figure out how many calories are needed to perform various activities. A list of some everyday activities is made, and the number of calories burned during each activity is recorded. Which method is the best way for the student to display and evaluate the information?",write a paragraph,make a line graph,develop a formula,create a table,D
1677,Mercury_7086730,Sedimentary deposits formed from organic material tend to include a high amount of,iron.,nickel.,carbon.,silicon.,C
1678,Mercury_7016100,"According to the Big Bang Theory, which element most likely formed first?",carbon dioxide,hydrogen,oxygen,nitrogen,B
1679,Mercury_SC_408364,Tim and Carla play catch with a ball. Which term describes the motion of a ball?,shape,size,speed,weight,C
1680,Mercury_SC_401368,Which set of equipment would be best to use when investigating what is found in a sample of pond water?,"net, gloves, specimen bags","beaker, calculator, graph paper","microscope, eye dropper, slides","measuring tape, thermometer, clipboard",C
1681,Mercury_7009765,The Theory of Plate Tectonics revolutionized scientific thought because it,explained the movement of oceanic and continental crusts.,demonstrated how tidal forces affect coastlines.,mapped the pattern and frequency of earthquakes.,explained the mineral differences between continents.,A
1682,AKDE&ED_2008_8_52,How does repeating an experiment improve the likelihood of obtaining accurate results?,Data can be compared.,Time can be decreased.,Equipment can be added.,Procedures can be changed.,A
1683,Mercury_401504,One hundred grams of water and 100 grams of vegetable oil are heated in identical containers at 70°C for 5 minutes. Their temperatures at the end of 5 minutes are different due to the difference in which property?,volume,specific heat,conductivity,chemical energy,B
1684,Mercury_SC_401150,There are MORE hours of sunlight in the Northern Hemisphere during which season?,spring,summer,fall,winter,B
1685,Mercury_SC_415695,Which force produces energy as heat?,pull,gravity,friction,magnetic,C
1686,Mercury_7109270,Biologists have discovered that the beluga whales of Canada's St. Lawrence River have the highest rates of cancer among animals. What is most likely the reason for this high incidence of cancer in these whales?,chemical and pollutant runoff into the ocean,average temperatures increased in the region,depletion of natural prey from the ecosystem,increased levels of carbon dioxide in the atmosphere,A
1687,Mercury_7007823,"Reading from left to right, elements in the same period on the Periodic Table of the Elements",have the same reactivity.,decrease in atomic mass.,increase in atomic number.,have the same number of electrons.,C
1688,Mercury_7044660,A device that converts light energy into electricity used in many handheld calculators is a,battery.,photocell.,photo generator.,photovoltaic cell.,D
1689,ACTAAP_2007_7_12,Which most accurately describes a circle (pie) graph?,used to demonstrate change in temperature only,used to demonstrate change that is continuous,used to demonstrate change that is not continuous,used to describe how part of the data relates to all of the data,D
1690,MCAS_2001_8_6,Which organisms benefit in the relationship between bees and flowering plants?,only the bees,only the flowering plants,both the bees and the flowering plants,neither the bees nor the flowering plants,C
1691,Mercury_7122763,"The orbit of Earth is almost circular and has a period of about 365 days. Compared to the orbit of Earth, which of these objects usually have highly elliptical orbits and can have periods of over 1000 years?",asteroids,meteorites,comets,moons,C
1692,Mercury_7236653,How is the theory of plate tectonics different from a hypothesis regarding a certain aspect of plate movement?,The theory addresses an Earth-science topic.,The theory may change if new evidence emerges.,The theory explains a number of related observations.,The theory can be evaluated by a single-variable experiment.,C
1693,Mercury_7113943,A large quantity of heavy rain falling in a short time period will most likely,reduce the amount of nutrients in the soil.,increase the number of minerals in the soil.,reduce oxygen levels in the soil.,increase the temperature of the soil.,A
1694,Mercury_7197295,An artificial pacemaker is a device that regulates the beat of the heart by an electrical stimulus. Some early pacemakers were powered by batteries and were worn externally with wires passing through the skin to the surface of the heart. Modern pacemakers are now much smaller and are implanted surgically. Which most likely has increased the lifespan and effectiveness of artificial pacemakers?,the development of thinner wires,the invention of lithium batteries,mass production of pacemaker parts,reducing the cost of producing pacemakers,B
1695,TIMSS_2003_8_pg93,A balloon filled with helium gas is set free and starts to move upward. Which of the following best explains why the helium balloon moves upward?,The density of helium is less than the density of air.,The air resistance lifts the balloon up.,There is no gravity acting on the helium balloons.,The wind blows the balloon upward.,A
1696,Mercury_416463,"Oscar and Andre used a microscope to observe a sample of pond water and drew an example of each type of organism they saw. Then they compared their drawings. They discovered that their drawings of a euglena and a paramecium were alike, but their amoeba drawings had very different shapes. What are two things that Oscar's amoeba could have been doing that made his drawing look different from Andre's?",eating and moving,moving and digesting,digesting and excreting,excreting and eating,A
1697,Mercury_SC_401279,The reading on a barometer rises when the air,pressure increases.,pressure decreases.,speed increases.,speed decreases.,A
1698,CSZ10373,Which of the following processes is responsible for changing liquid water into water vapor?,photosynthesis,condensation,evaporation,precipitation,C
1699,Mercury_7032585,"In an atom, protons plus neutrons make up the atom's",electric charge.,atomic mass.,atomic number.,electron number.,B
1700,Mercury_7212485,A generator converts mechanical energy to electrical energy by using a conducting metal loop turning in a,magnetic field.,gravitational field.,steel sphere.,copper sphere.,A
1701,Mercury_SC_405233,"Deer live in forest for shelter. If the forest was cut down, which situation would most likely happen?",The deer would find shelter in a different habitat.,The deer would wait for the forest to grow back.,The deer would move to another forest area.,The deer would change the type of foods they eat.,C
1702,Mercury_7011095,Which physical property is important to have in a material used in cookware?,poor conductor of heat,good conductor of heat,low flexibility,high flexibility,B
1703,MEA_2013_8_5,Which sentence describes a characteristic of offspring produced by sexual reproduction?,The offspring have half the amount of genetic material as the parents.,The offspring contain genetic material from both parents.,The female offspring contain only genes from the mother.,The male offspring contain only genes from the father.,B
1704,NCEOGA_2013_8_54,What is involved in creating genetically modified bacteria?,allowing them to reproduce freely,changing their food source,using biotechnology techniques,growing them on selected plants,C
1705,MCAS_2008_5_5622,Which of the following structures does a frog develop as it changes from a tadpole to an adult frog?,eyes,heart,lungs,tail,C
1706,Mercury_SC_415703,One cause of heat in a car engine is caused by friction between parts. Which of these reduces the amount of heat produced by friction?,fan,oil,gasoline,battery,B
1707,Mercury_7166653,"The primary functions of the digestive system are to break down food, absorb nutrients and excrete wastes. Once food is absorbed, what system is responsible for carrying the nutrients to the body cells?",respiratory system,circulatory system,nervous system,skeletal system,B
1708,NAEP_2005_4_S13+4,"If you breathe on a mirror, part of the mirror clouds up. What are you actually seeing when you see the mirror cloud up?",Water droplets that formed from cooled water vapor in your breath,Carbon dioxide that you are breathing out from your lungs,Oxygen that you are breathing out from your lungs,Cooled nitrogen in the air around you,A
1709,VASoL_2011_5_35,The surface of the Moon is made up of,"craters, highlands, and flat areas",swirling gases,large bodies of water,a mixture of gases and water,A
1710,NYSEDREGENTS_2009_8_39,Which sequence correctly shows the levels of increasing organization in the human body?,tissues -> cells -> organ systems -> organs,cells -> tissues -> organs -> organ systems,organs -> organ systems -> cells -> tissues,organ systems -> organs -> tissues -> cells,B
1711,Mercury_7213063,Which layer of the atmosphere contains the greatest amount of water vapor?,thermosphere,mesosphere,stratosphere,troposphere,D
1712,Mercury_7121783,What should a scientist do to help make sure the results of an experiment are unbiased?,Keep the results a secret.,Do the math without a calculator.,Change all of the variables in the experiment.,Ask other scientists to attempt to reproduce the results.,D
1713,Mercury_7205993,Which property of water allows it to dissolve many different substances?,It is a polar molecule.,It contains hydrogen atoms.,It has a high melting point.,It has a low density.,A
1714,Mercury_7218838,"Nevada is much drier than regions in California that are at the same latitude. Compared to these regions in California, which feature of Nevada contributes most to this dry climate?",mountain ranges to the west,high mean elevation,frequent earthquakes,soil with a high sand content,A
1715,Mercury_7221305,A chemist observed bubbling and fizzing after adding an acid solution to a white powdery substance in a beaker. Which of the following can be inferred?,The acid boiled when poured into the beaker.,The acid and powder formed a new product.,A physical reaction produced a gas mixture.,A reaction occurred that produced heat.,B
1716,Mercury_LBS10185,Which of the following is visible through a reflecting telescope?,planets around other stars,black holes in deep space,moons around Jupiter,surface of Saturn,C
1717,Mercury_7081690,A student is using hydrochloric acid in an investigation. Which piece of safety equipment is most important during this investigation?,mask,goggles,fire extinguisher,disinfectant spray,B
1718,Mercury_7092103,"Generally, the deeper rock layers of Earth are older than shallower rock layers. How can the collision of two tectonic plates change the order of the rock layers?",The rock layers contain pollutants that dissolve soil.,The rock layers lack water due to extended droughts.,The rock layers are compressed forming faults and folds.,The rock layers are moved closer to rivers which erode landforms.,C
1719,Mercury_7044538,Which instrument should a student use to best examine bacteria?,telescope,hand lens,microscope,computer probes,C
1720,MEAP_2005_5_37,Matter that is vibrating is producing ___.,gas,light,sound,shadows,C
1721,Mercury_7165900,Falling and rising air and water molecules inside of clouds are believed to be factors in the formation of lightning. Which kind of energy transfer is taking place to cause this weather phenomenon?,electrical to thermal,thermal to mechanical,chemical to mechanical,mechanical to electrical,D
1722,NYSEDREGENTS_2004_4_2,"Sleet, rain, snow, and hail are forms of",erosion,evaporation,groundwater,precipitation,D
1723,Mercury_SC_400384,A windstorm knocks down many trees in a national park. Timber companies want to get rid of the fallen trees. How would this most likely harm the park ecosystem?,reduces the risk of fire,decreases erosion problems,increases the risk of drought,removes available nutrients,D
1724,TIMSS_2003_4_pg71,A plant has yellow flowers. What best explains why the flowers are yellow?,The sunshine colored the flowers yellow.,The flowers of the parent plants were yellow.,It was very warm when they flowered.,It rained every day.,B
1725,Mercury_SC_401203,Which tool is used to determine the mass of an object?,ruler,beaker,balance,thermometer,C
1726,Mercury_SC_401807,Prairie dogs can run very quickly. This adaptation enables the prairie dog to,attract mates.,intimidate predators.,escape from predators.,chase after their young.,C
1727,Mercury_7026915,"A student has a liquid that does not mix with water. To predict whether the liquid will float on water or sink beneath it, which tools should be used to examine the liquid?",ruler and compass,microscope and voltmeter,graduated cylinder and balance,thermometer and Bunsen burner,C
1728,Mercury_SC_409179,Samuel investigated the effect of temperature on the growth of snapdragons. He recorded the results from the investigation and found that snapdragons do not grow well in low temperatures. What is the purpose of this conclusion in the scientific process?,It helps to organize the data.,It helps to evaluate the hypothesis.,It helps to prepare for an investigation.,It helps to collect information from observations.,B
1729,TIMSS_2011_8_pg6,Which of the following best describes the purpose of cellular respiration?,to provide energy for cell activities,to produce sugar for storage in cells,to release oxygen for breathing,to supply carbon dioxide for photosynthesis,A
1730,MCAS_2016_5_9,"In a meadow ecosystem, mice receive most of the energy they need to survive directly from which of the following sources?",minerals,oxygen,plants,water,C
1731,Mercury_7252700,Which environmental stimulus causes leaves on certain trees to change color in autumn?,loss of nutrients in the forest soil,lower air humidity in the forest,changes to amount of light,competition for survival,C
1732,NYSEDREGENTS_2011_4_2,How does the length of daylight in New York State change from summer to fall?,It decreases.,It increases.,It remains the same.,,A
1733,Mercury_402570,What is the name of the product formed from the reaction shown below? 4Fe(III) + 3O_{2} -> 2Fe_{2}O_{3},iron (II) oxide,iron (III) oxide,oxygen ferrite,diferrous trioxide,B
1734,Mercury_186270,What type of galaxy is the Milky Way?,spiral,elliptical,irregular,oval,A
1735,Mercury_405939,One thing that all human cells have in common is that they,control the brain.,make food.,move blood.,take in energy.,D
1736,Mercury_7012933,Which two systems of the body are interacting when a runner sprains his ankle?,the nervous system and the digestive system,the digestive system and the circulatory system,the respiratory system and the nervous system,the muscular system and the nervous system,D
1737,MCAS_2015_5_12,Jupiter is the largest planet in the solar system. It rotates on its axis once about every 10 hours. What time period on Earth would be 10 hours long if Earth rotated on its axis once every 10 hours?,a day,a week,a month,a year,A
1738,MSA_2013_8_7,The elements sulfur (S) and oxygen (O2) combine to form a substance called sulfur dioxide (SO2). Sulfur dioxide is also formed when coal and oil are burned. Sulfur dioxide can best be described as,a metal,an atom,a compound,a nonreactive gas,C
1739,Mercury_SC_406619,Which is a major difference between the life cycles of different types of plants?,the way they die,the energy they use,the way they reproduce,the way they make food,C
1740,Mercury_7058363,Sunlight passes through the windows of a car and causes the car seats to get hot. Which type of energy flow is involved in heating the seats?,conduction,convection,insulation,radiation,D
1741,Mercury_7010955,"When a large oak tree is cut down in a forest, it leaves a gap in the forest canopy which allows smaller trees to quickly grow in the available sunlight. Which interaction is best represented among the smaller trees?",parasitism,mutualism,competition,commensalism,C
1742,Mercury_7044205,How long does it take for the Moon to rotate on its axis?,one day,one year,one week,one month,D
1743,NYSEDREGENTS_2004_4_29,What is one way that humans can maintain good health?,sleep all day,exercise daily,eat snacks often,stay up late,B
1744,OHAT_2007_8_41,Which is an example of a group of cells with a common structure and function?,stomach,muscle tissue,mitochondria,digestive system,B
1745,Mercury_182315,"Sickle cell anemia is a genetic disease caused by an autosomal recessive gene. If each parent carries one sickle cell allele, what are the chances that their child will have sickle cell anemia?",no chance,one in four,two in four,three in four,B
1746,ACTAAP_2012_7_8,Which statement describes animal embryos?,display all the features of an adult,represent the earliest stage of development,have the same number of cells as a fertilized egg,have half the number of chromosomes as an adult,B
1747,Mercury_7056350,The average temperature of the surface of Earth has increased approximately 1°C in the past century. Which reason best explains this increase in temperature?,higher levels of oxygen in the atmosphere,lower levels of ozone in the atmosphere,higher levels of carbon dioxide in the atmosphere,lower levels of nitrogen in the atmosphere,C
1748,Mercury_7282573,"As the population in an area grows, water usage increases. Eventually, water usage can outstrip the supply. Which measure to increase the amount of available water demonstrates the best stewardship of the resource?",discovering new reservoirs of water in the aquifer,reducing water usage through conservation measures,combining hydrogen with oxygen to make water,piping in water from an aquifer elsewhere,B
1749,Mercury_7133665,Which action illustrates a chemical change?,painting a wood chest,sawing a wood plank,burning wood chips,cutting down a tree,C
1750,Mercury_SC_403009,Which tool could be used to help someone count the number of ladybugs on a leaf?,hand lens,meter stick,microscope,graduated cylinder,A
1751,Mercury_7282660,Which two activities use most of the water used in an average U.S. household?,flushing toilets and washing clothes,washing clothes and using sink faucets,using sink faucets and showering,showering and flushing toilets,A
1752,Mercury_7043523,Which are the best tools to use for growing and studying bacterial cultures?,beakers,Petri dishes,microscopes,graduated cylinders,B
1753,Mercury_7005023,Which effect would the growing of legume crops such as beans and soybeans have?,increase the efficiency of photosynthesis,greater immunity of crops against diseases,fewer bacteria in soil and in living organisms,more usable nitrogen for other plants,D
1754,Mercury_7263673,Which relationship between Earth's outer core and inner core generates a large portion of Earth's magnetic field?,their relative masses,their relative motions,their relative diameters,their relative circumferences,B
1755,NYSEDREGENTS_2007_8_20,Which order of succession of natural communities would most likely occur in New York State?,grasses -> trees -> bushes,trees -> bushes -> grasses,bushes -> grasses -> trees,grasses -> bushes -> trees,D
1756,Mercury_404686,White light can be separated into all of its component colors by,mixing the three primary colors of light.,passing the light through a prism.,passing the light through a colored filter.,using a translucent material to filter the light.,B
1757,ACTAAP_2008_7_14,"An Italian scientist named Alessandro Volta invented the Voltaic pile in 1800. It was able to produce a steady electrical current. Based on this description, what is the modern equivalent of the Voltaic pile?",a wire,a battery,a resistor,a light bulb,B
1758,Mercury_SC_408661,Which would cause the most soil to erode from a river bank in just a few days?,animals climbing up the river bank,acid rain falling onto the river bank,heat from the sun drying the river bank,water from a flood flowing over the river bank,D
1759,Mercury_7072608,A student is measuring a liquid in a graduated cylinder. The student is not tall enough to read the measurement at eye level. Which of these is the best action for the student to take to read the measurement correctly?,stand on a chair,estimate the amount,pour out some of the liquid until it is at eye level,move the graduated cylinder to a lower table,D
